Fiche de données de charge de véhicule électrique;;;;
Modèle ;Nissan_LEAF_40;;;
Utilisateur;zeta;;;
ancienneté véhicule (années);non spécifié;;;
kilométrage véhicule;non spécifié;;;
température moyenne extérieure pendant la charge;non spécifié;;;
température moyenne batterie pendant la charge;non spécifié;;;
Capacité utile batterie (kWh);38.5;;;
Modèle chargeur;Fastned;;;
type prise chargeur;Chademo;;;
Puissance maximal chargeur (kW);50;;;
Courant maximal chargeur (A);125;;;
;;;;
Temps;Pourcentage charge;Puissance;Tension;Courant
s;%;W;V;A
0;0;42;0;0
0;1;42.05;0;0
0;2;42.1;0;0
0;3;42.15;0;0
0;4;42.2;0;0
0;5;42.25;0;0
0;6;42.3;0;0
0;7;42.35;0;0
0;8;42.4;0;0
0;9;42.45;0;0
0;10;42.5;0;0
0;11;42.55;0;0
0;12;42.6;0;0
0;13;42.65;0;0
0;14;42.7;0;0
0;15;42.75;0;0
0;16;42.8;0;0
0;17;42.85;0;0
0;18;42.9;0;0
0;19;42.94;0;0
0;20;42.99;0;0
0;21;43.04;0;0
0;22;43.09;0;0
0;23;43.14;0;0
0;24;43.19;0;0
0;25;43.24;0;0
0;26;43.29;0;0
0;27;43.34;0;0
0;28;43.39;0;0
0;29;43.44;0;0
0;30;43.49;0;0
0;31;43.54;0;0
0;32;43.59;0;0
0;33;43.64;0;0
0;34;43.69;0;0
0;35;43.74;0;0
0;36;43.79;0;0
0;37;43.84;0;0
0;38;43.89;0;0
0;39;43.94;0;0
0;40;43.99;0;0
0;41;44.04;0;0
0;42;44.09;0;0
0;43;44.14;0;0
0;44;44.19;0;0
0;45;44.24;0;0
0;46;44.29;0;0
0;47;44.34;0;0
0;48;44.39;0;0
0;49;44.44;0;0
0;50;44.49;0;0
0;51;44.54;0;0
0;52;44.59;0;0
0;53;44.64;0;0
0;54;44.69;0;0
0;55;44.74;0;0
0;56;44.79;0;0
0;57;44.84;0;0
0;58;44.89;0;0
0;59;44.94;0;0
0;60;45;0;0
0;61;44;0;0
0;62;43;0;0
0;63;42;0;0
0;64;41;0;0
0;65;40;0;0
0;66;38;0;0
0;67;37;0;0
0;68;36;0;0
0;69;35;0;0
0;70;34;0;0
0;71;33.3;0;0
0;72;32.6;0;0
0;73;31.9;0;0
0;74;31.2;0;0
0;75;30.5;0;0
0;76;29.8;0;0
0;77;29.1;0;0
0;78;28.4;0;0
0;79;27.7;0;0
0;80;27;0;0
0;81;26.3;0;0
0;82;25.6;0;0
0;83;24.9;0;0
0;84;24.2;0;0
0;85;23.5;0;0
0;86;22.8;0;0
0;87;22.1;0;0
0;88;21.4;0;0
0;89;20.7;0;0
0;90;20;0;0
0;91;19.3;0;0
0;92;18.6;0;0
0;93;17.9;0;0
0;94;17.2;0;0
0;95;16.5;0;0
0;96;15.8;0;0
0;97;15.1;0;0
0;98;14.4;0;0
0;99;13.7;0;0
0;100;13;0;0
